epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,14998.7,1.34016,0.99488,1.04835,0.40165,0.36366,0.33969,0.18186,1.73366,1.77652,1.5313,0.005842,0.005842,0.005842
44,15325.8,1.34569,0.9951,1.05184,0.49098,0.33599,0.34,0.1816,1.7981,1.78295,1.59554,0.005743,0.005743,0.005743
45,15653.9,1.32985,0.97997,1.04463,0.39504,0.40632,0.35355,0.19712,1.75327,1.79198,1.56929,0.005644,0.005644,0.005644
46,15982.7,1.31524,0.96118,1.03967,0.45898,0.32906,0.34873,0.19717,1.77052,1.85648,1.56646,0.005545,0.005545,0.005545
47,16309.6,1.31501,0.95279,1.03613,0.35235,0.439,0.34053,0.18998,1.76343,1.81276,1.58213,0.005446,0.005446,0.005446
48,16637.2,1.30094,0.94946,1.03822,0.42975,0.38529,0.34777,0.19858,1.75636,1.79132,1.57268,0.005347,0.005347,0.005347
49,16965,1.29237,0.93886,1.03063,0.37545,0.38204,0.3254,0.17937,1.78005,1.78892,1.60876,0.005248,0.005248,0.005248
50,17293.9,1.27664,0.92329,1.02685,0.36912,0.35294,0.33617,0.18331,1.74188,1.77858,1.59595,0.005149,0.005149,0.005149
51,17621.8,1.27875,0.93439,1.03061,0.35357,0.4208,0.33989,0.18837,1.73245,1.8366,1.57605,0.00505,0.00505,0.00505
52,17949.4,1.25948,0.9073,1.02165,0.34191,0.39717,0.33604,0.18605,1.75689,1.79886,1.59388,0.004951,0.004951,0.004951
53,18277,1.24836,0.8997,1.01417,0.43782,0.36635,0.34427,0.18904,1.75871,1.85467,1.57515,0.004852,0.004852,0.004852
54,18604.7,1.24229,0.88037,1.01365,0.40449,0.35114,0.33919,0.18754,1.75099,1.89055,1.60562,0.004753,0.004753,0.004753
55,18932,1.23449,0.88166,1.01357,0.42301,0.36402,0.33612,0.18926,1.748,1.82082,1.56964,0.004654,0.004654,0.004654
56,19258.5,1.22509,0.86861,1.00462,0.383,0.36301,0.32932,0.18736,1.75168,1.82695,1.59179,0.004555,0.004555,0.004555
57,19587,1.21661,0.85954,1.00515,0.36025,0.39647,0.33286,0.18697,1.76611,1.83033,1.593,0.004456,0.004456,0.004456
58,19913.8,1.20236,0.8471,0.99966,0.41307,0.39227,0.33395,0.18168,1.79806,1.85776,1.63364,0.004357,0.004357,0.004357
59,20240.1,1.20717,0.85228,1.00069,0.38269,0.41727,0.33919,0.18938,1.76941,1.83721,1.62238,0.004258,0.004258,0.004258
60,20567.4,1.19403,0.83437,0.99607,0.36236,0.42653,0.34626,0.19026,1.76611,1.82348,1.62244,0.004159,0.004159,0.004159
